Open Date,Close Date,Symbol,Action,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
08/21/2017 16:19,,,Withdrawal,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,
08/21/2017 00:15,08/21/2017 01:26,EURCAD,Buy,1.47834,1.47919,8.5,0.46,00:01:11:55,1.5,1m,0.0,0.12,8.5,,0.0,,100.0,100.0,0.00,
08/16/2017 21:20,08/17/2017 11:02,EURUSD,Buy,1.17705,1.17482,-22.3,-0.20,00:13:42:17,60.8,8h 19m,45.2,1.38,19.0,,-26.2,,42.0,8.6,-41.30,
08/16/2017 21:25,08/17/2017 10:12,EURUSD,Buy,1.17758,1.17534,-22.4,-0.20,00:12:47:39,40.8,5h 13m,36.1,1.64,13.7,,-22.4,,38.0,0.0,-36.10,
08/16/2017 20:20,08/16/2017 21:10,EURUSD,Buy,1.17330,1.17636,30.6,0.24,00:00:50:12,2.0,1m,0.0,0.03,30.6,,0.0,,100.0,100.0,0.00,
08/16/2017 11:15,08/16/2017 11:41,EURUSD,Sell,1.17125,1.17283,-15.8,-0.13,00:00:26:11,0.0,0s,15.8,15.82,0.0,,-15.8,,0.0,0.0,-15.80,
08/16/2017 11:20,08/16/2017 11:32,EURUSD,Sell,1.17067,1.17222,-15.5,-0.13,00:00:12:16,0.0,0s,15.5,15.50,0.0,,-15.5,,0.0,0.0,-15.50,
08/16/2017 11:10,08/16/2017 11:32,EURUSD,Sell,1.17038,1.17196,-15.8,-0.13,00:00:22:12,0.0,0s,15.8,15.82,0.0,,-15.8,,0.0,0.0,-15.80,
08/16/2017 11:05,08/16/2017 11:32,EURUSD,Sell,1.17065,1.17187,-12.2,-0.10,00:00:27:03,0.0,0s,12.2,12.21,0.0,,-12.2,,0.0,0.0,-12.20,
08/16/2017 11:00,08/16/2017 11:07,EURUSD,Sell,1.17166,1.16915,25.1,0.20,00:00:07:39,12.5,57s,0.0,0.04,25.1,,0.0,,100.0,100.0,0.00,
08/15/2017 23:29,08/16/2017 02:00,GBPJPY,Sell,142.30100,142.31200,-1.1,-0.12,00:02:30:51,0.0,0s,1.1,1.10,0.0,,-1.1,,0.0,0.0,-1.10,
08/15/2017 15:50,08/15/2017 16:43,EURUSD,Sell,1.17057,1.17233,-17.6,-0.14,00:00:53:12,0.0,0s,17.6,17.61,0.0,,-17.6,,0.0,0.0,-17.60,
08/15/2017 15:35,08/15/2017 16:42,EURUSD,Sell,1.17026,1.17205,-17.9,-0.17,00:01:07:05,0.0,0s,17.9,17.92,0.0,,-17.9,,0.0,0.0,-17.90,
08/15/2017 15:45,08/15/2017 16:38,EURUSD,Sell,1.17006,1.17195,-18.9,-0.15,00:00:53:13,0.0,0s,18.9,18.90,0.0,,-18.9,,0.0,0.0,-18.90,
08/15/2017 15:40,08/15/2017 16:38,EURUSD,Sell,1.17002,1.17190,-18.8,-0.18,00:00:58:11,0.0,0s,18.8,18.83,0.0,,-18.8,,0.0,0.0,-18.80,
08/15/2017 15:55,08/15/2017 16:37,EURUSD,Sell,1.16990,1.17165,-17.5,-0.14,00:00:42:39,0.0,0s,17.5,17.51,0.0,,-17.5,,0.0,0.0,-17.50,
08/15/2017 10:10,08/15/2017 10:58,EURUSD,Sell,1.17311,1.17459,-14.8,-0.14,00:00:48:46,0.0,0s,14.8,14.81,0.0,,-14.8,,0.0,0.0,-14.80,
08/09/2017 16:25,08/09/2017 17:17,EURUSD,Sell,1.17064,1.17232,-16.8,-0.16,00:00:52:50,0.0,0s,16.8,16.81,0.0,,-16.8,,0.0,0.0,-16.80,
08/09/2017 16:15,08/09/2017 16:39,EURUSD,Sell,1.17061,1.17208,-14.7,-0.14,00:00:24:26,0.0,0s,14.7,14.71,0.0,,-14.7,,0.0,0.0,-14.70,
08/09/2017 16:20,08/09/2017 16:39,EURUSD,Sell,1.16978,1.17146,-16.8,-0.16,00:00:19:10,0.0,0s,16.8,16.81,0.0,,-16.8,,0.0,0.0,-16.80,
08/08/2017 17:35,08/09/2017 16:14,EURUSD,Sell,1.17538,1.17104,43.4,0.39,00:22:39:00,85.3,19h 19m,31.8,0.16,61.9,,-10.2,,85.9,74.3,-18.50,
08/08/2017 17:30,08/08/2017 20:32,EURUSD,Sell,1.17492,1.17658,-16.6,-0.15,00:03:02:57,0.0,0s,17.1,17.12,0.0,,-17.1,,0.0,2.9,-16.60,
08/08/2017 17:45,08/08/2017 20:05,EURUSD,Sell,1.17433,1.17618,-18.5,-0.15,00:02:20:34,0.0,0s,18.5,18.52,0.0,,-18.5,,0.0,0.0,-18.50,
08/08/2017 17:40,08/08/2017 20:05,EURUSD,Sell,1.17435,1.17614,-17.9,-0.14,00:02:25:34,0.0,0s,17.9,17.92,0.0,,-17.9,,0.0,0.0,-17.90,
08/08/2017 17:25,08/08/2017 18:56,EURUSD,Sell,1.17604,1.17284,32.0,0.28,00:01:31:41,1.1,1m,0.0,0.03,32.0,,0.0,,100.0,100.0,0.00,
08/08/2017 17:20,08/08/2017 17:30,EURUSD,Sell,1.17700,1.17444,25.6,0.22,00:00:10:14,9.1,55s,0.0,0.04,25.6,,0.0,,100.0,100.0,0.00,
08/08/2017 17:15,08/08/2017 17:24,EURUSD,Sell,1.17841,1.17611,23.0,0.20,00:00:09:40,10.0,58s,0.0,0.04,23.0,,0.0,,100.0,100.0,0.00,
08/07/2017 00:36,08/07/2017 04:33,GBPUSD,Sell,1.30429,1.30472,-4.3,-0.30,00:03:56:14,0.0,0s,11.9,11.90,0.0,,-11.9,,0.0,63.9,-4.30,
08/07/2017 00:39,08/07/2017 04:29,GBPJPY,Sell,144.45100,144.49100,-4.0,-0.25,00:03:50:53,0.0,0s,14.3,14.31,0.0,,-14.3,,0.0,72.0,-4.00,
08/04/2017 15:35,08/04/2017 15:43,EURUSD,Sell,1.18409,1.18563,-15.4,-0.14,00:00:08:41,0.0,0s,15.4,15.41,0.0,,-15.4,,0.0,0.0,-15.40,
08/04/2017 15:40,08/04/2017 15:41,EURUSD,Sell,1.18363,1.18515,-15.2,-0.14,00:00:01:51,,,,,,,,,,,,
08/02/2017 20:20,08/02/2017 21:05,EURUSD,Buy,1.18998,1.18785,-21.3,-0.19,00:00:45:20,0.0,0s,21.3,21.32,0.0,,-21.3,,0.0,0.0,-21.30,
08/01/2017 17:50,08/01/2017 17:58,EURUSD,Sell,1.17969,1.18098,-12.9,-0.12,00:00:08:40,0.0,0s,12.9,12.90,0.0,,-12.9,,0.0,0.0,-12.90,
07/31/2017 19:00,08/01/2017 17:44,EURUSD,Buy,1.18253,1.18006,-24.7,-0.23,00:22:44:39,40.7,9h 15m,42.9,1.36,18.2,,-24.7,,42.4,0.0,-42.90,
07/31/2017 18:15,07/31/2017 19:00,EURUSD,Buy,1.17900,1.18311,41.1,0.31,00:00:45:19,2.2,59s,0.0,0.02,41.1,,0.0,,100.0,100.0,0.00,
07/31/2017 18:10,07/31/2017 19:00,EURUSD,Buy,1.17895,1.18306,41.1,0.31,00:00:50:18,2.0,1m,0.0,0.02,41.1,,0.0,,100.0,100.0,0.00,
07/31/2017 18:05,07/31/2017 18:59,EURUSD,Buy,1.17858,1.18285,42.7,0.37,00:00:54:32,1.9,1m,0.0,0.02,42.7,,0.0,,100.0,100.0,0.00,
07/31/2017 18:00,07/31/2017 18:59,EURUSD,Buy,1.17894,1.18283,38.9,0.34,00:00:59:32,1.7,1m,0.0,0.03,38.9,,0.0,,100.0,100.0,0.00,
07/26/2017 22:05,07/27/2017 13:49,EURUSD,Buy,1.17291,1.17032,-25.9,-0.22,00:15:44:59,57.4,9h 2m,72.4,0.56,46.5,,-25.9,,64.2,0.0,-72.40,
07/26/2017 22:15,07/27/2017 13:13,EURUSD,Buy,1.17342,1.17069,-27.3,-0.24,00:14:58:32,44.2,6h 37m,68.7,0.66,41.4,,-27.3,,60.3,0.0,-68.70,
07/26/2017 22:10,07/27/2017 13:13,EURUSD,Buy,1.17391,1.17116,-27.5,-0.24,00:15:03:30,31.6,4h 45m,65.9,0.81,36.5,,-29.4,,55.4,2.9,-64.00,
07/26/2017 21:25,07/27/2017 06:36,EURUSD,Buy,1.17020,1.17495,47.5,0.35,00:09:11:50,94.6,8h 42m,25.4,0.21,66.5,,-13.7,,82.9,76.3,-19.00,
07/26/2017 21:10,07/27/2017 00:50,EURUSD,Buy,1.17032,1.17469,43.7,0.32,00:03:40:43,79.2,2h 54m,17.8,0.34,43.7,,-14.9,,74.6,100.0,0.00,
07/26/2017 21:15,07/27/2017 00:26,EURUSD,Buy,1.16948,1.17413,46.5,0.35,00:03:11:27,91.7,2h 55m,17.8,0.14,46.5,,-6.5,,87.7,100.0,0.00,
07/26/2017 21:20,07/26/2017 22:09,EURUSD,Buy,1.16915,1.17384,46.9,0.37,00:00:49:14,86.0,42m,14.0,0.07,46.9,,-3.2,,93.6,100.0,0.00,
07/20/2017 17:50,07/26/2017 22:01,EURUSD,Buy,1.16334,1.17324,99.0,0.76,06:04:11:38,87.2,5d 9h ,81.4,0.14,100.3,,-13.8,,87.9,98.9,-1.30,
07/26/2017 21:05,07/26/2017 22:00,EURUSD,Buy,1.16859,1.17233,37.4,0.30,00:00:55:48,98.2,54m,14.3,0.03,40.0,,-1.3,,96.9,93.7,-2.60,
07/20/2017 17:45,07/26/2017 22:00,EURUSD,Buy,1.16332,1.17264,93.2,0.73,06:04:15:49,87.8,5d 10h ,81.4,0.14,100.5,,-13.6,,88.1,93.6,-7.30,
07/25/2017 15:25,07/25/2017 16:29,EURUSD,Buy,1.16937,1.16804,-13.3,-0.11,00:01:04:39,0.0,0s,13.3,13.32,0.0,,-13.3,,0.0,0.0,-13.30,
07/25/2017 15:15,07/25/2017 16:29,EURUSD,Buy,1.16930,1.16804,-12.6,-0.11,00:01:14:39,0.0,0s,12.6,12.61,0.0,,-12.6,,0.0,0.0,-12.60,
07/25/2017 15:20,07/25/2017 16:29,EURUSD,Buy,1.16946,1.16809,-13.7,-0.12,00:01:09:38,0.0,0s,13.7,13.72,0.0,,-13.7,,0.0,0.0,-13.70,
07/20/2017 17:40,07/25/2017 16:17,EURUSD,Buy,1.16238,1.17078,84.0,0.66,04:22:37:36,99.5,4d 22h ,50.2,0.05,84.0,,-4.3,,95.1,100.0,0.00,
07/20/2017 17:35,07/25/2017 16:06,EURUSD,Buy,1.16180,1.17020,84.0,0.67,04:22:31:52,100.0,4d 22h ,50.2,0.01,88.1,,0.0,,100.0,95.3,-4.10,
